,Provincias,Ramas de actividad,periodo,Total
198,47 Valladolid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14293892
199,47 Valladolid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,14635137
200,49 Zamora,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3582273
201,49 Zamora,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,3514472
202,50 Zaragoza,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,27896994
203,50 Zaragoza,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,28155594
204,51 Ceuta,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,1765159
205,51 Ceuta,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,1774927
206,52 Melilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,1616543
207,52 Melilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,1625086
208,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8663814
209,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,8171130
210,03 Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,37279735
211,03 Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,35995303
212,04 Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,15659622
213,04 Almería,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,15173666
214,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12939983
215,01 Araba/Álava,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,12740333
216,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23549659
217,33 Asturias,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,23225369
218,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3300110
219,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,3217007
220,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12723211
221,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,12331184
222,"07 Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,30031668
223,"07 Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,32740793
224,08 Barcelona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,173721885
225,08 Barcelona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,171924804
226,48 Bizkaia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,35446900
227,48 Bizkaia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,35582278
228,09 Burgos,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10276704
229,09 Burgos,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,10479188
230,10 Cáceres,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7926526
231,10 Cáceres,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,7760226
232,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,22635742
233,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,22277724
234,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14022067
235,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,13743992
236,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,16147043
237,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,15645552
238,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10832838
239,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,10710723
240,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14616131
241,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,14203118
242,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,27347965
243,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,27119027
244,16 Cuenca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,4594001
245,16 Cuenca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,4541324
246,20 Gipuzkoa,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,23839000
247,20 Gipuzkoa,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,23598874
248,17 Girona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,21355174
249,17 Girona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,20939426
250,18 Granada,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,17140505
251,18 Granada,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,16673976
252,19 Guadalajara,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,5502747
253,19 Guadalajara,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,5224085
254,21 Huelva,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10763135
255,21 Huelva,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,10530211
256,22 Huesca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,6802388
257,22 Huesca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,6302079
258,23 Jaén,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,11754569
259,23 Jaén,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,11573127
260,24 León,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10224642
261,24 León,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,9831635
262,25 Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12558913
263,25 Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,12073427
264,27 Lugo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7395362
